shapeid,x,y
0,-71.14567842,42.28806749
0,-71.14554519,42.28811084
0,-71.14523929,42.28819033
0,-71.1451759,42.28820592
0,-71.14509043,42.28822696
0,-71.14490746,42.28826571
0,-71.14414365,42.28843844
0,-71.143968,42.28847832
0,-71.14377642,42.2885222
0,-71.14361693,42.2885583
0,-71.14342765,42.28860099
0,-71.14328919,42.28863242
0,-71.14325579,42.28864117
0,-71.14321163,42.2886542
0,-71.14317372,42.28866679
0,-71.14313269,42.28868196
0,-71.14309461,42.28869579
0,-71.14305096,42.28871293
0,-71.14300952,42.28873122
0,-71.1429771,42.28874787
0,-71.14293714,42.28877056
0,-71.14290617,42.28879062
0,-71.14287637,42.28881149
0,-71.14282889,42.28884346
0,-71.14280431,42.28886
0,-71.14276336,42.28889405
0,-71.14263801,42.28899823
0,-71.142525,42.28909231
0,-71.14242217,42.28917915
0,-71.1423233,42.28926253
0,-71.14214871,42.28941031
0,-71.14209442,42.28945683
0,-71.14204826,42.28949639
0,-71.14186707,42.28965016
0,-71.14172085,42.28977202
