u-1LrJX0QtUv-iVhBA9KOVp,q-VU1OQrNfEg-hVvCESr1QK,Will you ever make the Hubway year round?,Experiential Quality,3/9/15 12:06,02127,
u-xsme46sHcH-CGfaocnxqG,q-WrNKB7qJGP-vLV8JDMLfv,How can we shop or use businesses when they don't shovel the snow?,Experiential Quality,3/9/15 12:06,02127,
u-pTxgpd1W7I-q2YzR1Xh0j,q-hC5fBvCnMC-R2yYUFQyYT,Are there going to be better ways to park during snow storms?,Experiential Quality,3/9/15 12:06,02127,
u-D15uXxVSyu-BEeId9YvRA,q-AONKlup8jM-ps3zxkyTdw,How does the city allow for space markers to be put out before the snow?,Experiential Quality,3/9/15 12:06,02127,
u-ZgeEoz3Fae-xlLG2LXUG6,q-XbMs83kLmC-s0qxQvE8hV,Why do we still have 8ft snow banks a week after the storm? snow removal has been terrible.,Experiential Quality,3/9/15 12:06,02127,
u-tN8JwsqPPH-yXuMgCpfKn,q-dWE94Ksqvr-Xjyph9ILSY,Could you get more buses and trains so they won't be so packed?,Experiential Quality,3/9/15 12:55,02127,
u-4Tl06lKMMP-qPlJbrm6Jb,q-YyuGGwGZBU-67KEAE7X4v,Can we abolish the MBTA unions and finally update this archaic entity to actually provide some state of the art transportation as seen in Japan?,Governance and Decision-Making,1/26/15 9:10,02127,
u-uhAjZX0JSI-l2HSFsa9B3,q-obPiJE4n98-pWY9g5v8EB,"How are capital projects prioritized in Boston? (Are they by: number of people impacted, project costs, community needs, vocal residents, developer interests, etc.?)",Governance and Decision-Making,2/2/15 13:48,02127,
u-NcCstgSdTF-Phcc8I4j8j,q-opyL1ORLkV-IOj5AZaDg1,Why are you stopping the buses for 8th and 9th graders?,Governance and Decision-Making,3/9/15 12:06,02127,
u-O7IOnRC1uC-JTUORmdFMI,q-WQCpPLT9V4-foG96asiJA,Why don't they enforce live parking in bike lanes?,Governance and Decision-Making,3/9/15 12:06,02127,
u-ZzNQMqFXFh-94sIZTbVQs,q-FvGC6tPJeF-8HIl3jiwtb,Why does the city take away the ability to drive and not provide any other alternative?,Governance and Decision-Making,3/9/15 12:06,02127,
